,ID,sentences,datetime
0,쿠@joa841·Mar 25,"쿠 @joa841 · 헬스장 가기, 만보 걷기 이번에도 달성! 상금 6백원 작고 소즁해    40",2024-03-25T04:26:31.000Z
1,발로란트/IT 뉴스@valorantnewskr·Mar 25,"발로란트/IT 뉴스 @valorantnewskr · [공식]
Team PDF의 ‘Vonce’는 승부조작으로 인해 VCT MYSG에서 추방되었습니다.      VALORANT Challengers Malaysia & Singapore 2 248",2024-03-24T19:38:10.000Z
2,포브스코리아@forbes_korea·Mar 22,"포브스코리아 @forbes_korea · 다짐이 다 ‘짐’이 되지 않도록, 좋은 습관 형성을 돕는 스타트업 화이트큐브가 첫 영업이익 흑자를 달성했다. 최혁준 대표는 “인생을 바꾸는 건 결심보다 행동”이라고 강조했다.

           
 1 65",2024-03-22T02:17:02.000Z
3,블링대리티켓팅@Bling_ticketing·Mar 14,"블링대리티켓팅 @Bling_ticketing · 2024 WDG     코리아 STAGE 1 - 4주차 DAY2

3월 21일 목요일 J구역 중앙 1자리 단석

 원가(21000원) 제외하고 제시해주세요
 아옮 해드려요 < 국내 / Global OK >

                   1 683",2024-03-14T01:10:52.000Z
4,차차@stillaliveor·Mar 13,"차차 @stillaliveor · @stillaliveor  2월 상금출금 

- 2월 상금 21,100원 출금
- 2월 마지막주에는 이벤트 참여했던게 있어서 상금 출금이 더 많은데 이벤트 환급 제외 챌린저스 수익은 9,100원
- 요새 뜸했더니 이제서야 기록하네 앞으로도 ㅎㅇㅌ 105",2024-03-13T14:46:35.000Z
5,◡̎@f_sus4·Mar 13,"◡̎ @f_sus4 · 2024 WDG 발로란트 챌린저스
코리아 STAGE 1 - 3주차 DAY1
3월 13일 수요일 경기 티켓 원가 양도합니다

자리는 E열 (1열) 오른쪽 (IAM 쪽) 입니다
디엠 주세요 
                       1 470",2024-03-13T02:10:18.000Z
6,김정수@Deardoer_Casual·Mar 12,"김정수 @Deardoer_Casual ·  참여자들은 좋겠다.
    써봐서! 1 187",2024-03-12T09:31:57.000Z
7,블링대리티켓팅@Bling_ticketing·Mar 7,"블링대리티켓팅 @Bling_ticketing · 2024 WDG     코리아 STAGE 1 - 3주차 DAY1 티켓

3월 13일 수요일 J열 2자리 연석 양도/판매해요

 양도 중입니다~ 제시해주세요
시제석× 중앙쪽이라 시야 매우 좋아요~ [ 아옮 가능 ]

                   1 1.1K",2024-03-07T03:13:46.000Z
8,"게임, 애니, 영화, 행사@Fancam41392092·Feb 22","게임, 애니, 영화, 행사 @Fancam41392092 · 젠데이아 영화 챌린저스 2차 예고편 4월 개봉

     젠데이아 영화 챌린저스 2차 예고편 4월 개봉 249",2024-02-22T14:50:28.000Z
9,Warner Bros. Korea@WarnerBrosKorea·Feb 21,"Warner Bros. Korea @WarnerBrosKorea · 올 4월, 가장 매혹적인 경쟁! 
<챌린저스> 2차 예고편 공개

 #4월대개봉
  감독
   150 102 21K",2024-02-21T14:00:00.000Z
10,차차@stillaliveor·Feb 4,"차차 @stillaliveor · 2024   타래  
2023 챌린저스에 이어서 가봅니다 Quote 차차 @stillaliveor · #챌린저스  타래  1 358",2024-02-04T08:05:11.000Z
11,Warner Bros. Korea@WarnerBrosKorea·Jan 9,"Warner Bros. Korea @WarnerBrosKorea · 젠데이아 그리고 두 남자
거부할 수 없는 강렬한 끌림

세 사람의 아슬아슬한 매치 포인트 
&l  > 4월 대개봉

  감독
   31 11 2.6K",2024-01-09T03:05:55.000Z
12,Hanwha Life Esports@HLEofficial·Jan 5,"Hanwha Life Esports @HLEofficial · 𝟮𝟬𝟮𝟰 𝗛𝗟𝗘 𝗟𝗖𝗞 𝗖𝗟 𝗦𝗽𝗿𝗶𝗻𝗴 𝘀𝗰𝗵𝗲𝗱𝘂𝗹𝗲
HLE   스프링 경기 일정표 공개 4 62 183 16K",2024-01-05T07:43:23.000Z
