                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0444,                 0.9682,                0.25844,                0.43141,                 1.3202,                      1,                0.99378,                  0.995,                0.86479,                0.98157,                0.85714,                 0.8655,                0.61052,                0.60041,                 1.9433,                0.22706,                0.27625,                 0.9542,                      0,                      0,                      0
                      2,                  1.031,                 1.8202,                 0.3089,                0.79288,                 1.1432,                      1,                0.99172,                  0.995,                0.85266,                0.98197,                0.85714,                0.86448,                0.60674,                 0.6138,                 1.9717,                0.22206,                0.28878,                 0.9615,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.0612,                 2.5529,                0.25178,                0.69019,                 1.3644,                0.99409,                0.92857,                0.98625,                0.80535,                0.96617,                0.85714,                0.86809,                0.54512,                0.62833,                 2.0924,                0.21888,                0.33751,                0.96578,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.1762,                 2.7551,                0.37883,                 1.0668,                 1.4728,                0.91188,                0.92857,                0.97158,                0.81635,                0.95743,                0.78571,                0.84742,                0.45449,                0.64226,                 2.3098,                0.22158,                0.46978,                 0.9705,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.87864,                 1.8376,                0.26946,                0.46599,                 1.1822,                0.84864,                0.85714,                0.93524,                0.77901,                0.91573,                0.77687,                0.81468,                0.38404,                0.65468,                 2.5096,                0.22836,                0.60852,                0.97549,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.73591,                 3.4947,                0.26021,                0.96866,                 1.1874,                0.92294,                0.85562,                0.92129,                0.76441,                      1,                0.77635,                0.79706,                0.32032,                0.72651,                 2.6645,                0.23773,                0.58778,                0.99519,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.79778,                  1.938,                0.29655,                0.94096,                 1.1574,                0.98586,                0.78571,                0.89877,                0.68995,                0.98586,                0.78571,                0.79364,                0.30387,                0.84897,                 2.9019,                0.25627,                0.73366,                 1.0484,             0.00011287,             0.00011287,             0.00011287
                      8,                 0.7816,                 1.7483,                0.31145,                0.51401,                 1.1019,                      1,                0.76438,                0.91363,                0.66195,                0.81423,                0.62732,                0.64084,                0.29039,                 1.0539,                 3.3677,                0.28461,                0.83124,                 1.1736,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.4467,                 2.9339,                0.26345,                0.87777,                  1.526,                0.62203,                0.64286,                0.67626,                0.43252,                0.59697,                0.35714,                 0.3924,                0.16527,                 1.3908,                 4.0804,                0.37872,                 1.2069,                 1.4857,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.0229,                 2.5194,                0.37478,                 1.6843,                 1.4076,                0.96676,                0.57143,                0.67541,                0.37883,                0.63819,                0.35714,                0.34058,                0.15135,                 1.5308,                 5.1743,                0.42408,                 1.3755,                 1.6718,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.0646,                 3.5574,                0.35297,                 1.2401,                 1.2051,                0.50563,                0.71429,                0.64091,                0.34619,                0.64508,                0.28571,                0.29428,                0.07299,                 1.6049,                 5.9271,                0.45942,                 1.8819,                 1.7971,              0.0001802,              0.0001802,              0.0001802
                     12,                0.77643,                  2.757,                0.28991,                0.71271,                 1.1032,                0.61534,                0.45871,                0.56298,                0.33121,                0.29039,                0.21429,                0.18953,                0.04971,                 1.4633,                 6.1774,                0.51269,                 3.2925,                 1.6705,             0.00019604,             0.00019604,             0.00019604
                     13,                0.88694,                 2.9028,                0.22599,                0.64339,                 1.2166,                0.53674,                0.35714,                0.37816,                 0.1513,                0.13866,                0.14286,                0.03523,                0.01069,                 1.8747,                 6.6294,                0.49712,                 3.1711,                 1.8817,             0.00021149,             0.00021149,             0.00021149
                     14,                 1.1568,                 2.8289,                0.44767,                 1.5278,                 1.4716,                0.39274,                0.21429,                0.14946,                 0.0602,                0.17256,                0.07143,                 0.0189,                 0.0058,                 2.1983,                 7.3471,                0.53237,                 3.2354,                 2.1023,             0.00022654,             0.00022654,             0.00022654
